trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1932,False,"{'e': 0.021025905631917766, 'a': 0.002}",25,13,20.70593216831213,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1933,False,"{'e': 0.02098389584444467, 'a': 0.002}",20,15,11.038150317836957,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1934,False,"{'e': 0.02094196999258292, 'a': 0.002}",25,14,22.473762645201525,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1935,False,"{'e': 0.020900127908629072, 'a': 0.002}",20,6,23.71489849566955,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1936,False,"{'e': 0.020858369425214716, 'a': 0.002}",25,13,21.41990428402205,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1937,False,"{'e': 0.020816694375305884, 'a': 0.002}",20,15,7.266196203065903,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1938,False,"{'e': 0.020775102592202298, 'a': 0.002}",25,6,28.64147290933837,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1939,False,"{'e': 0.02073359390953679, 'a': 0.002}",25,11,21.623374505045017,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1940,False,"{'e': 0.020692168161274557, 'a': 0.002}",20,16,5.616793748483253,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1941,False,"{'e': 0.020650825181712566, 'a': 0.002}",30,11,29.38784952897299,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1942,False,"{'e': 0.020609564805478826, 'a': 0.002}",25,8,29.366372755219047,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1943,False,"{'e': 0.0205683868675318, 'a': 0.002}",25,17,14.462490048413601,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1944,False,"{'e': 0.02052729120315966, 'a': 0.002}",25,11,24.96637097887526,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1945,False,"{'e': 0.020486277647979705, 'a': 0.002}",25,13,23.083002995971714,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1946,False,"{'e': 0.020445346037937653, 'a': 0.002}",25,13,21.841984085245503,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1947,False,"{'e': 0.02040449620930702, 'a': 0.002}",25,18,12.234683428111406,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1948,False,"{'e': 0.020363727998688425, 'a': 0.002}",20,14,10.587803765754764,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1949,False,"{'e': 0.020323041243008984, 'a': 0.002}",30,17,25.23168543509469,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1950,False,"{'e': 0.0202824357795216, 'a': 0.002}",25,19,12.901663457164421,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1951,False,"{'e': 0.02024191144580439, 'a': 0.002}",20,14,11.634250702924042,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1952,False,"{'e': 0.020201468079759942, 'a': 0.002}",20,7,25.4434105826674,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1953,False,"{'e': 0.02016110551961476, 'a': 0.002}",25,3,37.34492532052298,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1954,False,"{'e': 0.020120823603918526, 'a': 0.002}",30,7,34.093290299575976,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1955,False,"{'e': 0.020080622171543543, 'a': 0.002}",20,14,11.223699508992562,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1956,False,"{'e': 0.020040501061684014, 'a': 0.002}",20,9,18.759182900502463,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1957,False,"{'e': 0.02000046011385546, 'a': 0.002}",25,15,16.397689443116516,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1958,False,"{'e': 0.01996049916789402, 'a': 0.002}",25,16,19.15915002832305,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1959,False,"{'e': 0.019920618063955876, 'a': 0.002}",25,17,14.842829342888855,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1960,False,"{'e': 0.01988081664251654, 'a': 0.002}",20,13,13.255375324177137,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1961,False,"{'e': 0.019841094744370288, 'a': 0.002}",30,12,14.471918803593859,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1962,False,"{'e': 0.019801452210629462, 'a': 0.002}",25,6,31.970858036664655,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1963,False,"{'e': 0.019761888882723885, 'a': 0.002}",25,15,17.478846347125703,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
